epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,568.034,0.48817,0.34356,0.83484,0.99547,0.97241,0.99421,0.75902,0.89902,0.46412,0.89029,0.0006437,0.0006437,0.0006437
139,571.423,0.51424,0.34831,0.83179,0.99192,0.97241,0.99421,0.75992,0.87852,0.47612,0.88482,0.0006338,0.0006338,0.0006338
140,576.789,0.51352,0.34893,0.8358,0.98615,0.98191,0.99409,0.79078,0.77316,0.46672,0.87833,0.0006239,0.0006239,0.0006239
141,580.992,0.51369,0.35038,0.83753,0.98693,0.97931,0.99328,0.77776,0.8217,0.45643,0.87196,0.000614,0.000614,0.000614
142,584.469,0.51055,0.34728,0.84397,0.99119,0.98276,0.99394,0.77837,0.84138,0.44903,0.87126,0.0006041,0.0006041,0.0006041
143,587.701,0.51224,0.34768,0.84165,0.99488,0.97414,0.99349,0.73078,0.99791,0.4899,0.89865,0.0005942,0.0005942,0.0005942
144,592.177,0.50326,0.34337,0.83318,0.99131,0.9835,0.99428,0.78,0.843,0.44212,0.88552,0.0005843,0.0005843,0.0005843
145,598.023,0.50811,0.34676,0.84175,0.98632,0.98448,0.99432,0.79567,0.80029,0.44124,0.88905,0.0005744,0.0005744,0.0005744
146,601.606,0.53306,0.35628,0.84182,0.99142,0.99624,0.99493,0.77045,0.8802,0.45533,0.88985,0.0005645,0.0005645,0.0005645
147,604.941,0.50437,0.33932,0.83462,0.99388,0.99655,0.99497,0.76818,0.89831,0.46206,0.89443,0.0005546,0.0005546,0.0005546
148,608.563,0.4824,0.3334,0.83574,0.99564,0.98103,0.99465,0.79492,0.80394,0.44172,0.86968,0.0005447,0.0005447,0.0005447
149,613.767,0.49259,0.33722,0.83777,0.99613,0.98103,0.99416,0.78649,0.82065,0.44765,0.86739,0.0005348,0.0005348,0.0005348
150,620.14,0.51698,0.34943,0.83099,0.99599,0.97931,0.99395,0.79251,0.82229,0.44686,0.86976,0.0005249,0.0005249,0.0005249
151,624.585,0.48418,0.33331,0.83365,0.98883,0.97931,0.99296,0.78527,0.83773,0.44866,0.86958,0.000515,0.000515,0.000515
152,627.808,0.49566,0.34164,0.83138,0.98461,0.98103,0.99363,0.80855,0.75372,0.4309,0.8711,0.0005051,0.0005051,0.0005051
153,631.227,0.50297,0.33973,0.83143,0.98514,0.98276,0.99397,0.78425,0.82054,0.43655,0.87796,0.0004952,0.0004952,0.0004952
154,635.921,0.48757,0.33162,0.83226,0.99358,0.98621,0.99479,0.7847,0.83754,0.43983,0.87848,0.0004853,0.0004853,0.0004853
155,641.162,0.5046,0.34375,0.83459,0.99834,0.98276,0.99462,0.77375,0.85507,0.44094,0.87893,0.0004754,0.0004754,0.0004754
156,644.699,0.4774,0.32715,0.82759,0.99734,0.98276,0.99348,0.79821,0.78494,0.42652,0.86849,0.0004655,0.0004655,0.0004655
157,648.219,0.48966,0.33281,0.83243,0.99609,0.98276,0.99092,0.79688,0.76111,0.42932,0.87209,0.0004556,0.0004556,0.0004556
158,651.999,0.48107,0.33315,0.84197,0.99601,0.98276,0.99415,0.79272,0.79876,0.43973,0.87384,0.0004457,0.0004457,0.0004457
159,657.111,0.48595,0.33087,0.83425,0.99479,0.98755,0.99481,0.79284,0.80282,0.4371,0.87265,0.0004358,0.0004358,0.0004358
160,661.556,0.47602,0.3295,0.83283,0.99647,0.98448,0.9947,0.75446,0.91572,0.45741,0.87686,0.0004259,0.0004259,0.0004259
161,664.916,0.48009,0.32452,0.83116,0.99871,0.98276,0.9946,0.78079,0.83265,0.44173,0.87147,0.000416,0.000416,0.000416
162,668.313,0.48014,0.32577,0.84054,1,0.98408,0.99483,0.79274,0.79222,0.41894,0.87306,0.0004061,0.0004061,0.0004061
163,672.566,0.47895,0.32716,0.83673,0.99963,0.98448,0.99486,0.78277,0.82511,0.41939,0.8681,0.0003962,0.0003962,0.0003962
164,677.753,0.49816,0.33553,0.83643,0.99945,0.98621,0.99493,0.79006,0.81781,0.4225,0.87151,0.0003863,0.0003863,0.0003863
165,681.334,0.46206,0.32054,0.82872,0.99653,0.9904,0.99497,0.79029,0.83169,0.43149,0.88255,0.0003764,0.0003764,0.0003764
166,684.772,0.48111,0.32588,0.83686,0.99653,0.99138,0.99498,0.79175,0.80855,0.41976,0.86912,0.0003665,0.0003665,0.0003665
167,688.472,0.45685,0.31943,0.83372,0.99819,0.9931,0.995,0.78807,0.81369,0.42099,0.86723,0.0003566,0.0003566,0.0003566
168,694.147,0.47599,0.32442,0.83053,1,0.99455,0.995,0.79515,0.79742,0.41302,0.86773,0.0003467,0.0003467,0.0003467
169,698.102,0.47041,0.31918,0.82822,0.99434,0.99483,0.99498,0.79296,0.76359,0.41588,0.86371,0.0003368,0.0003368,0.0003368
170,701.49,0.46633,0.31888,0.83396,0.99654,0.99331,0.99498,0.78221,0.81559,0.42068,0.86692,0.0003269,0.0003269,0.0003269
171,704.802,0.49015,0.32661,0.83328,0.99503,0.99138,0.99498,0.79356,0.79381,0.41762,0.86645,0.000317,0.000317,0.000317
172,709.443,0.45671,0.31261,0.82562,0.99304,0.99483,0.99497,0.78251,0.83754,0.43066,0.86563,0.0003071,0.0003071,0.0003071
173,714.446,0.46001,0.3144,0.82684,0.99399,0.99483,0.99498,0.76876,0.87156,0.43161,0.86985,0.0002972,0.0002972,0.0002972
174,717.943,0.46651,0.32119,0.82973,0.99224,0.99655,0.99497,0.78195,0.83848,0.42806,0.87247,0.0002873,0.0002873,0.0002873
